roi,n_channels,n_robust_channels,roi_frequency_mode,roi_note,most_important_band,delta_dp,delta_ci_lo,delta_ci_hi,theta_dp,theta_ci_lo,theta_ci_hi,alpha_dp,alpha_ci_lo,alpha_ci_hi,beta_dp,beta_ci_lo,beta_ci_hi
Frontal,15,9,whole_roi,,theta,0.000494430074468255,0.00014166748223942704,0.0008354940873687152,-0.0005974913947284222,-0.0008900860746507532,-0.0003020220625330696,7.953481690492481e-05,-0.00012219798554724545,0.0002824771865562068,0.00017825310351327062,-8.046453949646083e-05,0.00042920381820295007
Fronto-Central,6,5,whole_roi,,delta,0.0020148996263742447,0.0016660405788570642,0.0023995944240596144,1.0088277122122236e-05,-0.0002188381153246155,0.00023187417718872845,0.0006718446384184062,0.00039031498454278335,0.000941292382776737,0.00028987243422307074,-0.00014812306799285576,0.0007124874318833463
Temporal,8,7,whole_roi,,delta,0.0023294908460229635,0.0020212729345075787,0.0026370207720901816,-0.0004589632444549352,-0.0007372825522907078,-0.00018735698722593955,0.0002459402021486312,4.4153456747153624e-05,0.00045164019902586003,-1.6213523849728517e-05,-0.00032946298451861364,0.0002897018130170179
Central,7,3,whole_roi,,beta,0.0006603671936318278,0.0004058179518324323,0.0009143338334979487,0.00023680608137510717,1.7161281948574473e-05,0.00045021216647000956,0.0005404257099144161,0.00024686282486072756,0.0008208276965888216,0.0009441439178772271,0.00047740604277350944,0.0013950133143225685
Centro-Parietal,7,6,whole_roi,,theta,4.840196925215423e-05,-0.0002613841847050935,0.0003796514101850334,-0.0004826761141885072,-0.0007062886623316443,-0.0002583706234872807,-8.076879748841748e-05,-0.0002996901828737463,0.00013569334550993475,0.0001820933393901214,-0.00020482711406657472,0.0005802212050184606
Parietal,9,7,whole_roi,,theta,0.00024627146194688976,4.44662721747591e-05,0.00046135864758980457,0.0007422875496558845,0.0005363337535527537,0.0009544599408400245,0.00011247931979596615,-0.00014498965902021147,0.000361790898750769,-0.0004540215013548732,-0.0007813341304427012,-0.00011823048353107909
Parieto-Occipital,7,4,whole_roi,,theta,0.0002991161891259253,9.615645612939263e-05,0.0004983544640708715,0.00139491050504148,0.001133628495153971,0.0016403676214395086,0.0001571258035255596,-5.190777646930653e-05,0.0003634164306276943,0.00019141244411002845,-7.845321360946398e-05,0.00048423516564071156
Occipital,3,3,whole_roi,,delta,0.00065814726985991,0.0005379852067562751,0.0007725980452960356,-0.00015120144234970212,-0.00021744979749200864,-8.942315125750621e-05,-2.5522702344460413e-05,-0.00010223823974229162,4.781987790920537e-05,-3.891576398018515e-06,-7.476460887119174e-05,6.759370717190903e-05
Mastoid,2,1,whole_roi,,delta,-0.00024307081184815615,-0.0003090440441155806,-0.00017484497620898776,0.0001060645590769127,7.127330100047402e-05,0.00014236595088732427,-2.8846778150182217e-05,-9.412321996933313e-05,2.9897064769101993e-05,-1.749462535372004e-05,-7.890511406003497e-05,4.6259244027169144e-05
