roi,n_channels,occ_mean_dp,occ_ci_lo,occ_ci_hi,occ_significant,perm_mean_dp,perm_ci_lo,perm_ci_hi,perm_significant,n_fdr_significant_channels,n_robust_channels
Frontal,15,2.9793353728306148e-05,-1.5879048474531584e-05,7.623671231937013e-05,False,0.0001738377625559583,0.0001108295308586992,0.00023728962257320491,True,8,9
Fronto-Central,6,0.0007177840952029444,0.0005919639949721318,0.0008360351301852323,True,0.001260110518814605,0.0010751456908207127,0.0014439436864000532,True,6,5
Temporal,8,0.00042062601603475616,0.00034296488665320254,0.0004991207883037902,True,0.0008370663087677073,0.000719016231711448,0.000960625506259133,True,5,7
Central,7,0.0004933621654224563,0.0003836432725743011,0.0005994060806391311,True,0.0010780796193151456,0.0009278269982527172,0.0012295264834554524,True,4,3
Centro-Parietal,7,0.00019643833397557498,9.89607116322459e-05,0.0002930064414097308,True,0.0006567913356912199,0.0005129740228860045,0.0008094359480199359,True,6,6
Parietal,9,7.609559225610909e-05,7.739764488773591e-06,0.00014152394256596702,True,0.0002565958392799964,0.0001558853331723331,0.00035234757950235613,True,6,7
Parieto-Occipital,7,0.00021933024364804464,0.0001442764270952139,0.0002921507460914381,True,0.0003668956277231691,0.0002698480247452566,0.0004672068373104671,True,4,4
Occipital,3,0.00017843068995102932,0.00011342384721393939,0.0002476159958743755,True,0.00027091867761847407,0.00017682852405947433,0.00036140313131328473,True,2,3
Mastoid,2,-9.512079350742293e-05,-0.0001598721463923101,-3.216510588004268e-05,True,-9.671863582399157e-05,-0.00018601746696196954,-8.77302912650287e-06,True,1,1
