band,Frontal (0-11),Fronto-Central (12-17),Central (18-29),Temporal (30-41),Parietal (42-53),Occipital (54-63)
delta (0.5-4 Hz),0.0056645930744707584,-0.00043376206303946674,0.0012690082658082247,0.0040509579703211784,-0.0011677969014272094,-0.0005358725902624428
theta (4-8 Hz),-0.0018353620544075966,-0.0021604651119560003,0.0011736485175788403,0.000179203154402785,-0.007293318398296833,0.0019826157949864864
alpha (8-13 Hz),0.0029427409172058105,0.0009288907167501748,-0.003034240799024701,0.0011872744653373957,0.0016258064424619079,-0.0007445478695444763
beta (13-30 Hz),0.0014886024873703718,0.004806457087397575,-0.001713529578410089,0.0009394439985044301,0.0015157103771343827,-0.001085211057215929
