ROI,correct_abs_delta_p,incorrect_abs_delta_p,difference
Frontal (0-11),0.001707592986349482,0.0021026906554955835,-0.00039509766914610145
Fronto-Central (12-17),0.0025902054646091224,0.0019305534042359795,0.0006596520603731428
Central (18-29),0.0011725961133682479,0.0007988341991828444,0.0003737619141854035
Temporal (30-41),0.0011567291697550293,0.0017571789652113996,-0.0006004497954563703
Parietal (42-53),0.002447328840692838,0.0019337342849515455,0.0005135945557412926
Occipital (54-63),0.0014636977637564996,0.0006143629554571817,0.0008493348082993179
