time_s,correct_delta_p,incorrect_delta_p
0.0,0.028725571930408478,-0.02184859849512577
0.5,0.021530568599700928,-0.009786596521735191
1.0,0.017311403527855873,-0.005167813505977392
1.5,0.013521082699298859,0.001129119424149394
2.0,0.014237568713724613,-0.0022883457131683826
2.5,0.013915574178099632,-0.0031159063801169395
3.0,0.018754228949546814,-0.01110296044498682
3.5,0.010386602021753788,-0.006949314847588539
4.0,0.010048317722976208,0.0023841734509915113
