subject,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
S1,-0.00031463385676033795,-0.0030743652023375034,0.0017132037319242954,-0.00012012064689770341,-0.002873397432267666,0.002064934466034174,0.001813257928006351,0.0035791462287306786,0.0013411861145868897,-0.0031384199392050505,0.0008283478091470897,-0.0017179709393531084,-0.0032670802902430296,0.0029722487088292837,-0.0014695381978526711,0.0013663858408108354,-0.00012253642489667982,-0.0014140116982161999,0.00010066926188301295,-0.0012679171049967408,3.9516089600510895e-05,-0.002035818062722683,-0.002049287548288703,-0.0007205611327663064,-0.00022224664280656725,-0.0009320652461610734,3.5009383282158524e-05,0.0005654948763549328,0.003026984864845872,-0.0001508587592979893,0.0014494126662611961,0.0019481283379718661,-0.002106313593685627,-0.000839055166579783,-0.001154032303020358,-6.041467349859886e-05,-0.00013101279910188168,-0.00018131971592083573,0.0011696338187903166,-0.0005419438821263611,0.0025137830525636673,0.0008922511478886008,0.0055193002335727215,0.00354950362816453,0.0003114247228950262,0.0021277701016515493,-0.0005291658453643322,0.0010168093722313643,0.001106654410250485,0.003267018822953105,-0.0007060307543724775,0.004903963301330805,-0.0003621041832957417,-0.002215930260717869,0.006008486729115248,-0.0013405501376837492,-0.000669361324980855,-0.00011303841893095523,0.0007459145854227245,0.00242439447902143,-0.0001826173102017492,-0.002161191077902913,-0.0016833740519359708,-0.0007019859622232616
S10,0.0009971654508262873,-0.0013784551993012428,1.4914274288457818e-05,0.0019638461526483297,0.00427584582939744,0.0014414131874218583,0.0041596852242946625,-0.0019506883108988404,-0.0014447701396420598,-0.0022029185201972723,0.003042350523173809,0.0005951476050540805,0.0010522514348849654,0.0030639381147921085,-0.0021967487409710884,-0.005869782995432615,-0.0013348525390028954,-0.001468747272156179,0.0017088896129280329,-0.00021978259610477835,-0.0007926857215352356,-0.0032834880985319614,0.0011373836314305663,-0.001720129861496389,0.002970264060422778,0.00017224550538230687,7.371306310233194e-06,-0.0007805222412571311,0.0020498859230428934,0.0005744749214500189,0.0022919445764273405,0.0011728513054549694,-0.006514272186905146,-0.0009358793613500893,-0.00029564977739937603,0.002611722331494093,0.00183588033542037,-0.001200300408527255,0.0028025878127664328,0.0012469071662053466,0.0024635405279695988,0.0068517886102199554,0.009025675244629383,0.001510227331891656,0.0031211869791150093,-0.004117227625101805,-0.004364452790468931,0.0003203570959158242,-0.0005886399885639548,-6.640553692704998e-06,0.005269755143672228,0.002653720322996378,-0.0025053489953279495,0.002463881392031908,-0.0033691436983644962,-0.0030649499967694283,-0.0005730581469833851,-0.002484487369656563,0.0006919920560903847,0.0002143728779628873,-0.001073456951417029,-0.0005151671357452869,0.0004718661366496235,0.0004172551562078297
S11,-6.804168515373021e-05,-0.0017611432122066617,-0.001054431195370853,-0.0011156201362609863,-0.0004657047975342721,-0.000995677663013339,-0.002559572458267212,0.0014147823676466942,-0.003505508881062269,-0.002366285305470228,0.00020280182070564479,-0.0005031549953855574,-0.00142096693161875,-0.003179140156134963,0.00537418108433485,0.005004456266760826,0.00026959122624248266,-0.0005797576741315424,-0.0007541471859440207,0.00011658012954285368,-0.0005687421653419733,0.0018980908207595348,-0.000489589583594352,-0.005488524213433266,0.001262147445231676,-0.0008096277597360313,-0.0003612744912970811,-0.0007755780243314803,-0.0012000447604805231,-3.689110235427506e-05,0.0005958652473054826,-0.00010777294664876536,0.0005818915087729692,0.00023247241915669292,0.0001352590334136039,0.00026926398277282715,-0.0004044478992000222,0.0014095497317612171,4.839241591980681e-05,-0.0006300336099229753,-0.0006179714109748602,-0.0005170399090275168,0.0025099103804677725,-0.002820792840793729,0.0002199727314291522,-0.00014854848268441856,0.0026362473145127296,-0.00025728167383931577,-0.00012715638149529696,-0.0014318061294034123,-0.0003090250538662076,-0.003941576462239027,0.0010694086086004972,-0.0007216871017590165,-0.0017801225185394287,-0.000887228874489665,5.742490247939713e-05,-0.0008585965842939913,0.00037053049891255796,0.00043978093890473247,0.0002315604651812464,0.00045887648593634367,-0.0002849489392247051,-0.0007457953761331737
S12,-0.002788204001262784,-0.00024841667618602514,-0.002109103137627244,-0.0017631835071370006,-0.0025129299610853195,-0.0016414528945460916,0.001086964039131999,-0.0027417039964348078,0.00020702899200841784,-0.00027117968420498073,-0.0007004397921264172,-0.003502086503431201,-0.0011141604045405984,8.36652543512173e-05,-0.004939586389809847,-0.0029770617838948965,-0.0014809006825089455,-0.0013623243430629373,-0.001888897968456149,-0.0007115441840142012,0.0015113097615540028,0.0035081887617707253,-1.4379024833033327e-05,-0.0022291308268904686,0.0010390430688858032,0.00033699869527481496,0.0010308724595233798,6.880045111756772e-05,-0.0020101850386708975,-9.962141484720632e-05,6.711125024594367e-05,0.0015140366740524769,0.0021718495991081,0.0007195007638074458,-0.0028655999340116978,-0.0006943929474800825,-0.001988310134038329,-0.0002778393100015819,0.0006449365755543113,0.0009755647042766213,0.0011257326696068048,-0.0033480387646704912,-0.005174466408789158,0.00035501777892932296,-9.699106158223003e-05,0.0024105978664010763,-0.0014864510158076882,0.000663511164020747,0.0018324345583096147,0.002198342699557543,-0.005688616074621677,-0.004697731696069241,0.0029664027970284224,0.000345557346008718,-0.0019036203157156706,0.003734526690095663,-0.0003141933702863753,-0.0004432451678439975,-0.0020964103750884533,0.000461691030068323,0.0007677632384002209,-0.00012388288450893015,0.0001224219740834087,2.1255016235954827e-06
S13,0.000843948102556169,-0.0009903317550197244,0.0005882733967155218,-0.001319513889029622,0.0005257475422695279,-0.0002605259360279888,-0.0011180669534951448,-0.0030290354043245316,-0.0019566321279853582,0.005453246645629406,0.003022989723831415,-0.0003860896686092019,0.000574784295167774,-0.0026305955834686756,0.002039314014837146,0.0041037751361727715,-0.0032899482175707817,0.0008873838232830167,0.00026962338597513735,-0.0011165940668433905,0.0011672996915876865,0.0032960576936602592,0.0029553950298577547,0.0024212950374931097,0.0011827712878584862,0.00034157634945586324,-0.000819060776848346,0.0007613670895807445,0.0040265824645757675,-0.0003972291888203472,0.0006938368314877152,0.002010094467550516,0.0008068513707257807,0.002408466301858425,8.341610373463482e-05,0.0010274648666381836,-0.0008378583006560802,-0.0016434186836704612,0.0011163854505866766,0.0009282958344556391,0.00032904386171139777,-0.002212802181020379,-0.003382568247616291,-0.003024355275556445,0.006780640687793493,-0.0003465414047241211,-0.002128968248143792,0.0008720398182049394,0.00034653901821002364,0.005646014120429754,-0.0032125806901603937,0.005530685652047396,0.003406064584851265,0.0014737045858055353,0.0045927767641842365,0.0008444827981293201,-1.5503168469876982e-05,-0.0005756503087468445,0.0011170172365382314,-0.0014166635228320956,0.0036566013004630804,-0.001981273991987109,0.002271828008815646,0.0020439105574041605
S14,0.0029565589502453804,0.00042689801193773746,-0.0033358896616846323,-0.0007057487964630127,-0.002933657728135586,-0.002726058941334486,0.002046330599114299,0.003557400079444051,0.0003711181925609708,-0.0027402853593230247,-0.0018366426229476929,-0.0016688704490661621,0.0020736318547278643,0.005852857138961554,-0.0008344882517121732,-0.006023453548550606,-0.0005900454707443714,0.0011575216194614768,0.0010779607109725475,0.0007886558887548745,-0.0020988339092582464,-0.0031008929945528507,0.005418635439127684,0.012576630339026451,-0.0018604868091642857,-0.0012396197998896241,-0.00024454950471408665,0.004554178100079298,-0.0011103218421339989,-0.0010400712490081787,0.0011292642448097467,-0.0002840483211912215,0.0014563709264621139,0.001138495746999979,0.00032873093732632697,-0.000665709376335144,0.0009446018957532942,0.0028212559409439564,-0.004042265471071005,-0.0020505362190306187,-0.00013566791312769055,-0.004257610067725182,-0.001588923390954733,0.0002642381296027452,-0.0016033351421356201,-0.002960184123367071,0.0002432960318401456,0.0002579677093308419,-0.0014986026799306273,-0.0011271744733676314,-0.0012030631769448519,0.0033958768472075462,0.004855779465287924,0.0006969064706936479,0.0004038733313791454,0.0004088199057150632,0.0004168868181295693,-2.670943649718538e-05,-0.0010522634256631136,-0.00036412893678061664,0.000751370214857161,-0.003118528053164482,-0.0002947300672531128,0.00046580671914853156
S15,-0.002984135178849101,-0.004755708388984203,0.00010134815966011956,-0.0003676736378110945,0.0012940597953274846,0.0009391623898409307,-3.397285763639957e-05,0.003974628634750843,0.004507663194090128,-0.00034477352164685726,0.0002602302993182093,-0.0010431575356051326,-0.0010982597013935447,0.006472001783549786,0.009251199662685394,-0.0013675808440893888,0.0006144970539025962,-0.0023730932734906673,-0.0036159134469926357,-0.0004963952233083546,-0.002674170769751072,-0.0023932326585054398,-0.001899378257803619,0.002983574289828539,-0.001696938881650567,-0.0025746857281774282,-0.001164728426374495,0.003033384680747986,0.0005032855551689863,-0.00018587947124615312,-8.738517499295995e-05,0.0011587851913645864,-0.0038785766810178757,3.250181543990038e-05,0.00012576818699017167,0.00203291536308825,0.0023587399628013372,-0.0007491064025089145,0.0019000077154487371,0.0028280008118599653,0.0007892328430898488,0.005070850253105164,0.004322742111980915,0.0024012578651309013,0.00010922789806500077,0.0005317074246704578,-0.000821452122181654,0.000479087233543396,-0.0012111300602555275,0.0014473730698227882,0.003715169383212924,0.0056291613727808,-0.003102520713582635,0.00047694743261672556,0.002201646566390991,-0.0015791482292115688,-0.0015355980722233653,0.0004513603344094008,0.00040639162762090564,0.0018631273414939642,-0.002698125783354044,-0.0017625570762902498,-0.0015630531124770641,0.000458051566965878
S16,-0.0028076583985239267,-0.0006050813244655728,0.0026317143347114325,0.0020862894598394632,0.0033193081617355347,0.0022855056449770927,0.0016889912076294422,0.004870872013270855,0.0008001982932910323,-0.0025687699671834707,-0.002632932038977742,0.001311863074079156,0.0010197407100349665,0.0037701951805502176,0.0004765742924064398,-0.003859825199469924,0.003017043462023139,0.0009388726903125644,0.0012838328257203102,-7.603645644849166e-05,-0.0011629926739260554,-0.001835219911299646,-0.001322423224337399,-0.005160048604011536,0.002310105599462986,-0.0005593037349171937,0.0015850109048187733,-0.0018235546303912997,-2.4431943529634736e-05,0.0011423337273299694,0.002066933549940586,0.00027199863689020276,0.0015300947707146406,-0.00314131798222661,0.0012625730596482754,0.0016245150472968817,0.0007977003115229309,-0.00367155484855175,-0.0012803530553355813,0.0035920762456953526,0.00028666318394243717,0.0009344035643152893,-0.0008670705719850957,-0.0003409188939258456,-0.0005331438733264804,0.002294951118528843,-0.002708979183807969,0.0009854548843577504,0.0011569047346711159,-0.0014485502615571022,0.0024607109371572733,0.0023097991943359375,0.006321249064058065,0.003422406269237399,-0.0008876437204889953,0.0032388479448854923,0.001300157280638814,0.00037052930565550923,0.0009181589120998979,0.0006113207200542092,-4.673600415117107e-06,0.002589505398645997,0.00042149663204327226,-0.0006191355059854686
S17,-0.0008203476900234818,-0.004823202267289162,0.001251880545169115,0.0009768104646354914,0.0010692060459405184,-0.0006630808347836137,-0.0004345023771747947,0.004819280002266169,0.0018812483176589012,0.00025504291988909245,-0.0022490532137453556,-0.001277228002436459,-0.0006553041748702526,-0.0001564371632412076,0.005087460856884718,0.0035356003791093826,0.0014998072292655706,0.0010801255702972412,0.00034572480944916606,-0.00011535346857272089,0.0005786556284874678,0.00034638942452147603,-0.0004789161612279713,-0.0006459915894083679,-0.0009785896399989724,-0.0005599331925623119,-0.0006476354319602251,3.990173354395665e-05,3.499865488265641e-05,-0.00034146488178521395,-0.0005485904403030872,0.0001826143270591274,0.001772310701198876,-0.000701857206877321,0.00032873748568817973,-0.0007729745120741427,-0.0016481715720146894,5.0866601668531075e-06,-0.002252513077110052,-0.0013431984698399901,0.002309358213096857,0.004329304210841656,0.004052224103361368,0.0035522717516869307,-0.0007430529803968966,-0.0015610104892402887,-0.002464686054736376,-0.0008510398911312222,-0.0012456554686650634,0.0018479793798178434,-0.0005999564891681075,-0.007310034241527319,-0.011952590197324753,-0.0008587908814661205,0.0018924534088000655,-0.001279812422581017,-0.0007703453302383423,0.0008453917689621449,0.0006202954100444913,-0.0002751934516709298,-0.0009543400956317782,-0.0003107088850811124,-0.001681428519077599,-0.0019047785317525268
S18,-0.00022294461086858064,-0.0006565183284692466,0.00038592875353060663,-0.0010088169947266579,-0.0008238452719524503,0.0006062149768695235,-0.0023339558392763138,-0.003719648811966181,0.0005036258953623474,0.005850221496075392,0.0005790484137833118,0.0033840066753327847,-0.0034529762342572212,0.0005502671119756997,0.013214092701673508,0.011317312717437744,-0.0032884394749999046,-0.0010042655048891902,-0.0025907743256539106,-0.001574361347593367,-0.0028384430333971977,-0.0006696295458823442,-0.005123562645167112,-0.010238205082714558,0.0004655635275412351,0.00028706432203762233,-0.00034681856050156057,-0.002688932465389371,0.001325929188169539,-0.0020813632290810347,-0.0011555468663573265,-0.00045048235915601254,0.001603857846930623,-0.005795272067189217,-0.0017524772556498647,0.00047628581523895264,-0.00103128666523844,-0.0016427278751507401,0.0008851516176946461,0.0018732219468802214,0.003067802172154188,0.0024198717437684536,-0.0025626206770539284,0.004488547332584858,0.0031302934512495995,0.0017172390362247825,0.003653982887044549,-0.002942805178463459,-0.0004274713865015656,0.0007492309669032693,0.0014773630537092686,-0.008937470614910126,-0.009166416712105274,-0.0005241608596406877,-0.0005913102650083601,-0.000307585607515648,-0.0009199357009492815,-0.001102850423194468,0.0016417455626651645,-0.002924119122326374,-0.002880315762013197,-0.000456486945040524,-0.0009146374650299549,-0.0005782794905826449
