subject,t_0.0s,t_0.5s,t_1.0s,t_1.5s,t_2.0s,t_2.5s,t_3.0s,t_3.5s,t_4.0s
S1,0.01804303377866745,0.01608963869512081,0.014280392788350582,0.012611400336027145,0.010601107031106949,0.010534239932894707,0.007690613158047199,0.007015965413302183,0.010136428289115429
S10,0.019344795495271683,0.014579948969185352,0.013868429698050022,0.011253796517848969,0.010307847522199154,0.008432895876467228,0.0104721924290061,0.001628671307116747,0.0057156877592206
S11,0.0026069069281220436,0.0033435774967074394,0.0019350963411852717,-0.002090417081490159,-0.0025621862150728703,-0.004333621822297573,-0.0031922722700983286,-0.006867541000247002,-0.00595637084916234
S12,0.004111466463655233,-0.0036803341936320066,-0.0032875793986022472,-0.009143142960965633,-0.009166496805846691,-0.013161534443497658,-0.01486928854137659,-0.014807743951678276,-0.012117271311581135
S13,0.01864137500524521,0.016543583944439888,0.016613170504570007,0.009136798791587353,0.011428293772041798,0.008303157985210419,0.009185710921883583,0.008127142675220966,0.011748776771128178
S14,0.009345967322587967,0.005582496058195829,0.004057837650179863,-5.93030454183463e-05,-0.0033056139945983887,-0.004747220315039158,-0.0025144903920590878,-0.005951618775725365,-0.00014086664305068552
S15,0.022260870784521103,0.026110829785466194,0.02545185014605522,0.021148953586816788,0.017676670104265213,0.016383878886699677,0.014843512326478958,0.015198593027889729,0.01773613505065441
S16,0.006169571075588465,0.009700292721390724,0.004953079856932163,0.007319995667785406,0.0012085915077477694,0.005577977281063795,-0.0006015062099322677,0.003870226675644517,0.0019061601487919688
S17,0.015200996771454811,0.010510226711630821,0.014624519273638725,0.003811374306678772,0.0038191545754671097,0.001624872675165534,0.0016258836258202791,0.0021860855631530285,0.007194569334387779
S18,0.012477274052798748,0.010617506690323353,0.009763027541339397,0.004639151506125927,0.0013761306181550026,0.004024794790893793,0.0010331857483834028,-0.0005476373480632901,-9.851574577623978e-05
S2,0.01398420613259077,0.013604090549051762,0.013667051680386066,0.00676141120493412,0.00651148147881031,0.006108476314693689,0.006782312411814928,0.006314609665423632,0.012356865219771862
S3,0.010326160117983818,0.01206667348742485,0.008763639256358147,0.009773091413080692,0.006023576948791742,0.008333696983754635,0.0006352096679620445,0.00032706320052966475,0.002125789411365986
S4,0.012055989354848862,0.010230325162410736,0.01281557697802782,0.010451705195009708,0.007851965725421906,0.006063810549676418,0.005527143366634846,0.00415493780747056,0.005245850887149572
S5,0.012621810659766197,0.013249974697828293,0.011442319490015507,0.011841020546853542,0.008782075718045235,0.007538601290434599,0.0042184628546237946,0.0031093228608369827,0.004383236635476351
S6,0.016351982951164246,0.010406481102108955,0.0092167342081666,-0.0005923056742176414,0.0009005999309010804,-0.002152699278667569,0.001477208104915917,0.00039098859997466207,0.005760534200817347
S7,0.02431941218674183,0.02223537489771843,0.02500244602560997,0.01859704963862896,0.020916888490319252,0.01849580928683281,0.01899956911802292,0.015911448746919632,0.021655455231666565
S8,0.023958340287208557,0.02261226251721382,0.023615660145878792,0.017629636451601982,0.019137758761644363,0.013364366255700588,0.015630895271897316,0.010879557579755783,0.017451278865337372
S9,0.018949851393699646,0.014729414135217667,0.013072392903268337,0.007647862657904625,0.008014765568077564,0.004751214291900396,0.002239505760371685,0.0016060847556218505,0.004725798964500427
