channel,mean_dp,ci_lo,ci_hi
0,0.0038983474175135293,0.0008781949058175088,0.006445116276542345
1,0.004677413403987885,-0.00043742312739292454,0.01007356435060501
2,-0.001964619755744934,-0.004898639259239038,0.001058770393331845
3,-0.0005485023061434428,-0.0023063845808307328,0.0009736599524815875
4,0.008349542319774628,0.004901194634536903,0.011589483469724654
5,-0.002634658416112264,-0.008740349933505058,0.003418388639887169
6,0.007458889981110891,0.0030159534762303035,0.011821536359687647
7,-0.003863689303398132,-0.01635668994237979,0.007898907338579486
8,0.023873440424601235,0.005407630465924742,0.04329312921812137
9,0.0036607245604197186,0.0020486666386326157,0.00514769942810138
10,0.0007983128229777019,-0.002883588460584481,0.004652142226696014
11,0.0020181924104690553,0.0008120658993721009,0.0033959188560644784
12,0.0033565198381741842,0.001098817698657513,0.005623373066385586
13,-0.0016831388076146445,-0.004903772622346878,0.00195781220992406
14,-0.0012791896859804788,-0.0025744105254610376,-1.1812336742878009e-05
15,0.004286864399909973,0.0026773799707492194,0.006123155864576497
16,-0.0028777281443277997,-0.006897860703368981,0.000845905852814515
17,0.0034120912353197736,-0.0011413868392507226,0.00784051292886336
18,-0.0009839142362276713,-0.002839410367111365,0.0006720402960975963
19,0.0005274067322413126,-0.004491071936984854,0.005641028868655362
20,-0.003499940534432729,-0.006719855840007464,-0.000983593973020713
21,0.0011374731858571371,0.0002788987383246422,0.0020590153833230334
22,0.001772362987200419,0.00039690734197696053,0.003203782240549723
23,0.012315850456555684,0.008575230178733666,0.01566576698174079
24,0.007547794282436371,0.0037429623926679297,0.010919742720822493
25,0.004505359133084615,0.0015524187932411842,0.007445834005872407
26,0.006509933372338613,0.0022914557779828712,0.010237097417314846
27,-0.0005609005689620972,-0.0019945110380649566,0.0008713584889968228
28,-0.004198168714841207,-0.007718187868595123,-0.000545137052734694
29,0.0027940531571706137,0.0014110110948483152,0.004294681474566459
30,-0.0015750075380007425,-0.0056380640467007925,0.0025474987924098942
31,-0.00047640552123387654,-0.0033259252210458123,0.0025464707737167646
32,-0.004487864176432292,-0.007653635628521441,-0.0011332054063677808
33,-0.0034975061813990274,-0.006330700914065043,-0.0007650552814205488
34,-0.003255060811837514,-0.006523629936079183,-6.345953792333618e-05
35,0.0012314409017562867,-0.0003665598854422566,0.0027015506103634833
36,0.0020606587330500286,0.0005867640674114245,0.0036126358807086942
37,-0.00776581863562266,-0.011243260279297828,-0.004258286717037361
38,-0.0014860734343528747,-0.002372135718663533,-0.0006303926557302477
39,-0.005101535717646281,-0.007010421516994635,-0.003178391394515833
40,-0.010350612302621206,-0.018007246926426888,-0.0013454400872190814
41,-0.004120437800884247,-0.006337100726862749,-0.002194641170402368
42,-0.002569669485092163,-0.004539115826288858,-0.0006068561722834907
43,0.007611092428366343,0.0036832289894421903,0.011816672931114831
44,-0.014348999659220377,-0.027292563257118062,-0.002775687687098981
45,0.026454071203867596,0.016978754475712777,0.0360276856397589
46,-0.0019815996289253234,-0.006152715298036734,0.002035885403553644
47,0.0017056251565615336,-0.001388811767101287,0.004439397752285004
48,0.0006573056181271871,-0.002427137742439905,0.003611178224285443
49,0.0008534913261731466,6.449114531278618e-05,0.0017569146926204352
50,-0.003353994091351827,-0.005894456207752227,-0.000695730112493039
51,0.0010649298628171286,-0.000526985836525758,0.0026647929102182376
52,-0.00021721522013346355,-0.0016377840066949527,0.0011494157339135805
53,0.0005369434754053751,-0.0005516110236446062,0.001580905678371588
54,0.001561093827088674,-0.0009492787346243851,0.004246937272449335
55,0.006500677764415741,0.003486523094276588,0.009593176692724225
56,-0.0034784292181332904,-0.0051293730239073436,-0.0021003838752706853
57,-0.0011440694332122802,-0.003329456709325312,0.0010616633047660184
58,0.0005105520288149516,-0.0025746266419688847,0.003411870462199051
59,0.0043520336349805195,0.0019862450535098716,0.006623497332135834
60,0.00017218440771102906,-0.0015875656654437383,0.001823401339352131
61,0.010789933800697326,0.004353715678056081,0.01649455626805623
62,0.004963000118732452,0.0010007063547770206,0.008679120652377605
63,0.006425633529822032,0.0023017305135726936,0.010269700462619461
